"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159"
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,NA,"Small Narrowbodies","(Ex Fuel)",NA,"Pilots","Salaries and Wages","Pilot Training","Benefits and Payroll Taxes","Per Diem/ Personnel",NA,"Purchased Goods","Fuel/Oil","Insurance","Other (inc. Tax)",NA,"Maintenance","Labor","Materials","Third Party","Total Direct","Burden",NA,"Aircraft Ownership","Rentals","Depreciation and Amortization",NA,"Other",NA,"Indicies","Aircraft In Fleet","Seats Per Departure","Average Stage Length","Gallons of Fuel Per Block Hour","Load Factor",NA,"Daily Utilization per Aircraft","Block Hours","Airborne Hours","Departures",NA,"Large Narrowbodies","(Ex Fuel)",NA,"Pilots","Salaries and Wages","Pilot Training","Benefits and Payroll Taxes","Per Diem/ Personnel",NA,"Purchased Goods","Fuel/Oil","Insurance","Other (inc. Tax)",NA,"Maintenance","Labor","Materials","Third Party","Total Direct","Burden",NA,"Aircraft Ownership","Rentals","Depreciation and Amortization",NA,"Other",NA,"Indicies","Aircraft In Fleet","Seats Per Departure","Average Stage Length","Gallons of Fuel Per Block Hour","Load Factor",NA,"Daily Utilization per Aircraft","Block Hours","Airborne Hours","Departures",NA,"Widebodies","(Ex Fuel)",NA,"Pilots","Salaries and Wages","Pilot Training","Benefits and Payroll Taxes","Per Diem/ Personnel",NA,"Purchased Goods","Fuel/Oil","Insurance","Other (inc. Tax)",NA,"Maintenance","Labor","Materials","Third Party","Total Direct","Burden",NA,"Aircraft Ownership","Rentals","Depreciation and Amortization",NA,"Other",NA,"Indicies","Aircraft In Fleet","Seats Per Departure","Average Stage Length","Gallons of Fuel Per Block Hour","Load Factor",NA,"Daily Utilization per Aircraft","Block Hours","Airborne Hours","Departures",NA,"Total Fleet","(Ex Fuel)",NA,"Pilots","Salaries and Wages","Pilot Training","Benefits and Payroll Taxes","Per Diem/ Personnel",NA,"Purchased Goods","Fuel/Oil","Insurance","Other (inc. Tax)",NA,"Maintenance","Labor","Materials","Third Party","Total Direct","Burden",NA,"Aircraft Ownership","Rentals","Depreciation and Amortization",NA,"Other",NA,"Indicies","Aircraft In Fleet","Seats Per Departure","Average Stage Length","Gallons of Fuel Per Block Hour","Load Factor",NA,"Daily Utilization per Aircraft","Block Hours","Airborne Hours","Departures",NA,"Note: Shaded data means data appear questionable."
0,"1995.0000000","2086.8258773","1584.7982958",NA," 523.2909519"," 388.0372239","  25.3257092","  69.7405539","  40.1874650",NA," 562.8173562"," 502.0275816","   6.7119632","  54.0778114",NA," 551.6376275"," 125.0122211","  85.3449938","  30.7307994"," 241.0736630"," 310.5639646",NA," 445.1772620"," 329.5535374"," 115.6237246",NA,"   3.9026797",NA,NA," 329.2986301"," 127.1561735"," 691.6831415"," 920.5529059","   0.6763797",NA,NA,"   9.2756294","   7.7525667","   4.8295506",NA,"2654.1219588","2083.1226836",NA," 650.6867476"," 495.2743750","  28.2211734","  92.0112189","  35.1799803",NA," 643.5334948"," 570.9992752","  13.3519530","  59.1822665",NA," 532.3605145","  81.2990166"," 121.9116980","  51.5487912"," 248.6963285"," 283.6641860",NA," 820.9388792"," 563.7870994"," 257.1517798",NA,"   6.6023227",NA,NA,"  88.0000000"," 187.9509961","1405.5662504","1049.5155085","   0.6778386",NA,NA,"  10.5674346","   9.3613014","   3.1736924",NA,"5039.9310367","3584.2836547",NA," 976.9765574"," 758.6967121","  35.9847621"," 132.4387275","  49.8563556",NA,"1513.4050561","1455.6473820","  17.8862701","  39.8714041",NA,"1196.1842156"," 251.4092585"," 278.7262478"," 108.6768931"," 638.8123994"," 557.3718162",NA,"1339.6041097"," 790.4738686"," 549.1302411",NA,"  13.7610978",NA,NA," 135.4027397"," 296.4319733","2761.5349038","2525.0196682","   0.7324567",NA,NA,"  11.5365222","  10.6974020","   1.9918660",NA,"3013.6372236","2231.4731985",NA," 672.4240896"," 510.4074718","  28.8131298","  91.1324952","  42.0709928",NA," 844.0689587"," 782.1640251","  10.9723141","  50.9326195",NA," 729.9322930"," 153.2809506"," 145.9387422","  56.1735259"," 354.3687474"," 375.5635456",NA," 760.0801004"," 498.6369198"," 261.4431806",NA,"   7.1317819",NA,NA," 552.7013699"," 194.1727041","1045.8201966","1394.0486994","   0.7051258",NA,NA,"  10.0351896","   8.7301424","   3.8707221",NA,NA
0,"1996.0000000","2243.5322281","1645.7144156",NA," 548.6600366"," 409.9546135","  19.5669711","  76.1493236","  42.9891284",NA," 692.7116791"," 597.8178125","   4.7623917","  90.1314749",NA," 587.9049759"," 122.8389413"," 100.3292334","  29.3189928"," 252.4871676"," 335.4178083",NA," 410.7604357"," 287.5701489"," 123.1902868",NA,"   3.4951008",NA,NA," 332.4262295"," 127.6111134"," 715.6436172"," 932.2791387","   0.6962653",NA,NA,"   9.4040586","   7.8752178","   4.7608903",NA,"2885.9423354","2209.1776007",NA," 677.5096971"," 516.7770574","  22.3040623","  97.1755843","  41.2529932",NA," 783.5716186"," 676.7647347","  10.9055774","  95.9013065",NA," 651.5480375"," 120.9191604"," 128.1195301","  44.5745172"," 293.6132077"," 357.9348298",NA," 768.8796158"," 522.7451584"," 246.1344573",NA,"   4.4333665",NA,NA,"  89.6092896"," 187.9345387","1409.8325643","1053.3647459","   0.6855939",NA,NA,"  10.8871238","   9.6356069","   3.2512730",NA,"5424.0679104","3713.3391921",NA,"1101.5334154"," 858.4410507","  30.5645128"," 159.1160718","  53.4117802",NA,"1788.4374524","1710.7287183","  14.9552984","  62.7534357",NA,"1175.8705039"," 221.7051635"," 245.7685761"," 164.9373071"," 632.4110467"," 543.4594572",NA,"1344.4095382"," 759.3035969"," 585.1059413",NA,"  13.8170004",NA,NA," 138.8169399"," 297.6508842","2746.2263458","2491.6833456","   0.7405363",NA,NA,"  11.3774874","  10.5342177","   1.9670518",NA,"3238.0572444","2317.2865405",NA," 724.4886966"," 552.9804828","  23.0943772"," 102.8252859","  45.5885507",NA,"1012.9327551"," 920.7707039","   8.6510133","  83.5110379",NA," 762.2919125"," 149.9946616"," 145.5344939","  69.6414264"," 365.1705819"," 397.1213306",NA," 731.8181075"," 459.1000599"," 272.7180476",NA,"   6.5257727",NA,NA," 560.8524590"," 194.0183878","1068.0897165","1386.5960321","   0.7166228",NA,NA,"  10.1294575","   8.8146118","   3.8281889",NA,NA
0,"1997.0000000","2334.4597243","1756.7589917",NA," 576.4818874"," 444.0713735","  20.5334493","  66.9107228","  44.9663418",NA," 665.3671394"," 577.7007326","   3.6177736","  84.0486332",NA," 695.7529922"," 125.7572560"," 123.9681808","  64.9528182"," 314.6782550"," 381.0747372",NA," 387.4601076"," 282.4387240"," 105.0213836",NA,"   9.3975976",NA,NA," 331.6246575"," 128.4708289"," 721.4623134"," 922.6878809","   0.6955418",NA,NA,"   9.5910957","   8.0111613","   4.8091670",NA,"3022.4418723","2363.2896585",NA," 744.2352991"," 582.5005208","  25.6867699","  91.0093635","  45.0386450",NA," 756.0344413"," 659.1522137","   7.1601404","  89.7220872",NA," 774.9082615"," 129.4300197"," 175.1336684","  59.6633853"," 364.2270734"," 410.6811881",NA," 737.1739746"," 505.9556557"," 231.2183188",NA,"  10.0898957",NA,NA,"  92.1397260"," 187.9490641","1401.0981547","1052.5245223","   0.6969236",NA,NA,"  11.1335970","   9.8506735","   3.3516696",NA,"5375.9368882","3767.5122388",NA,"1231.4325055"," 990.3960245","  35.1024320"," 149.3572459","  56.5768031",NA,"1683.4085251","1608.4246493","  12.0886677","  62.8952080",NA,"1224.8186946"," 197.0554592"," 227.5315059"," 249.7329038"," 674.3198688"," 550.4988258",NA,"1215.1769728"," 696.2931477"," 518.8838250",NA,"  21.1001902",NA,NA," 145.3780822"," 294.1245771","2800.4494363","2460.4130957","   0.7395622",NA,NA,"  11.4831615","  10.6318150","   1.9555999",NA,"3318.6860633","2433.9259570",NA," 791.8473446"," 623.4554949","  25.5723411","  94.5418940","  48.2776146",NA," 970.4322283"," 884.7601063","   6.6428871","  79.0292349",NA," 859.8852986"," 146.6550100"," 162.3243344"," 116.5272532"," 425.5065977"," 434.3787010",NA," 683.6779037"," 439.0418240"," 244.6360796",NA,"  12.8432881",NA,NA," 569.1424658"," 194.7141358","1087.5314961","1382.2388185","   0.7180335",NA,NA,"  10.3241117","   8.9783669","   3.8443128",NA,NA
0,"1998.0000000","2311.3631952","1822.0483513",NA," 594.5558455"," 438.5024478","  19.0101145","  90.6165757","  46.4267075",NA," 571.5197654"," 489.3148440","   2.2083720","  79.9965494",NA," 736.8371110"," 129.1069465"," 147.9928400","  95.6578749"," 369.7297764"," 367.1073346",NA," 396.0620242"," 272.8719619"," 123.1900623",NA,"  12.3884492",NA,NA," 324.8739726"," 130.7756421"," 742.3458017"," 912.8389545","   0.7013275",NA,NA,"   9.7759721","   8.1668002","   4.7686100",NA,"2754.9892346","2193.4249128",NA," 720.4114781"," 539.4593370","  20.0098211"," 114.4558744","  46.4864457",NA," 650.1328364"," 561.5643218","   4.4043767","  84.1641379",NA," 711.1267801"," 125.8760278"," 126.1202956","  68.4126365"," 320.4089598"," 390.7178202",NA," 660.8050767"," 401.9742889"," 258.8307878",NA,"  12.5130633",NA,NA,"  95.6493151"," 187.9573410","1311.4685583","1050.1405598","   0.7134940",NA,NA,"  11.3744558","   9.9794626","   3.6039184",NA,"4947.6751237","3662.8088872",NA,"1274.1817378"," 979.7455063","  31.6251952"," 204.3441084","  58.4669279",NA,"1356.3894377","1284.8662365","   8.6796201","  62.8435811",NA,"1158.6909033"," 205.8193675"," 193.8975547"," 240.3981511"," 617.7175393"," 540.9733640",NA,"1139.7013560"," 643.5184546"," 496.1829014",NA,"  18.7116889",NA,NA," 152.7205479"," 284.3825251","2783.1889981","2384.5019765","   0.7262515",NA,NA,"  11.6859695","  10.7877581","   1.9968068",NA,"3169.0220909","2431.9782076",NA," 817.7222781"," 616.3594371","  22.9121079"," 128.4607207","  49.9900124",NA," 817.2416964"," 737.0438833","   4.5127576","  75.6850554",NA," 856.6838230"," 151.1603943"," 157.6031790"," 133.4640250"," 434.0291728"," 422.6546502",NA," 663.0977094"," 405.4556218"," 257.6420875",NA,"  14.2765841",NA,NA," 573.2438356"," 194.5178706","1114.6044407","1371.7608275","   0.7161148",NA,NA,"  10.5515404","   9.1675158","   3.8358250",NA,NA
0,"1999.0000000","2339.9922284","1881.0580560",NA," 597.0051368"," 437.3966038","  20.7530279","  88.7358975","  50.1196076",NA," 543.7309706"," 458.9341724","   2.0043908","  82.7924074",NA," 787.6468862"," 134.4892943"," 161.6670301"," 126.1167613"," 420.3465752"," 367.3003110",NA," 407.6701355"," 257.1153824"," 150.5547531",NA,"   3.9390993",NA,NA," 335.8712329"," 131.2715807"," 760.2706744"," 899.8875279","   0.6825283",NA,NA,"   9.9501766","   8.2428932","   4.7139804",NA,"2683.5805425","2149.5214864",NA," 733.0863318"," 545.8917097","  23.1744600"," 113.9288446","  50.0913175",NA," 631.2492681"," 534.0590561","   3.8221290","  93.3680830",NA," 738.9690218"," 121.3363997"," 166.8207312","  70.3879685"," 358.5450994"," 380.4239224",NA," 574.6498666"," 374.4291100"," 200.2207566",NA,"   5.6260543",NA,NA,"  97.8767123"," 186.4898896","1281.3861583","1049.5284953","   0.7118225",NA,NA,"  11.2343457","   9.7665500","   3.5935619",NA,"4803.6353717","3572.0336887",NA,"1246.5889350"," 949.3814892","  37.9065511"," 195.8145412","  63.4863535",NA,"1309.2988712","1231.6016829","   7.5783125","  70.1188758",NA,"1116.4685903"," 204.0058936"," 236.2362047"," 226.4185729"," 571.9617427"," 544.5068476",NA,"1121.1705615"," 621.6074836"," 499.5630779",NA,"  10.1084136",NA,NA," 153.1424658"," 280.0534540","2771.7970825","2317.1715717","   0.7275067",NA,NA,"  11.9356495","  10.9635938","   2.0357980",NA,"3118.5315443","2421.1492543",NA," 810.2590703"," 605.6951427","  26.1788479"," 124.3733438","  54.0117360",NA," 782.2828466"," 697.3822900","   3.9482838","  80.9522727",NA," 874.9777131"," 152.4500773"," 184.3116570"," 145.5857007"," 453.7109061"," 421.2668070",NA," 644.9782724"," 383.9589116"," 261.0193608",NA,"   6.0336419",NA,NA," 586.8904110"," 192.2016553","1120.9719428","1339.3435767","   0.7101013",NA,NA,"  10.6824265","   9.2069323","   3.8282847",NA,NA
0,"2000.0000000","2646.3128983","1976.8953986",NA," 670.0582069"," 483.5860744","  20.1023853"," 114.9989375","  51.3708096",NA," 768.6767721"," 669.4174998","   2.2776259","  96.9816464",NA," 757.1983684"," 133.3677387"," 140.5832831"," 125.1336138"," 392.7207044"," 364.4776639",NA," 444.1410450"," 251.7611457"," 192.3798994",NA,"   6.2385060",NA,NA," 347.1366120"," 127.5404085"," 767.0721646"," 909.6954173","   0.6961400",NA,NA,"   9.8522022","   8.0962755","   4.5658785",NA,"2938.6258175","2178.0950248",NA," 800.2656022"," 584.8086866","  22.8078167"," 141.2761774","  51.3729214",NA," 864.2983804"," 760.5307926","   4.5888442","  99.1787436",NA," 734.0066040"," 120.5375871"," 155.7375994","  75.3157243"," 351.5909108"," 382.4156932",NA," 580.5569925"," 397.0546981"," 183.5022944",NA," -40.5017617",NA,NA,"  98.0000000"," 181.9699944","1365.2517403","1072.8251787","   0.7255980",NA,NA,"  10.8328036","   9.4209044","   3.2560221",NA,"5630.5429691","3885.5873954",NA,"1342.5430989"," 994.4437561","  38.0603443"," 243.9481634","  66.0908351",NA,"1814.7368048","1744.9555736","   8.7997215","  60.9815097",NA,"1225.0654890"," 216.8218344"," 196.9361747"," 221.5373406"," 634.9398799"," 590.1256092",NA,"1235.0053689"," 669.3378527"," 565.6675163",NA,"  13.1922074",NA,NA," 156.1666667"," 279.6479662","2889.5895873","2279.8416316","   0.7397375",NA,NA,"  11.8616442","  10.8955858","   1.9426667",NA,"3568.0414999","2568.8127650",NA," 888.5491718"," 649.9513214","  25.8076177"," 157.1142089","  55.6760238",NA,"1090.6227880"," 999.2287349","   4.5723771","  86.8216760",NA," 890.1387199"," 155.6234415"," 159.6035663"," 144.9771360"," 456.6640023"," 433.4747176",NA," 698.2925623"," 398.2329057"," 300.0596566",NA,"   0.4382580",NA,NA," 601.3032787"," 189.6649299","1145.2464143","1337.7348215","   0.7233007",NA,NA,"  10.5338995","   9.0391817","   3.6711151",NA,NA
0,"2001.0000000","2937.5502560","2210.0051649",NA," 850.1837508"," 552.6904027","  25.4596323"," 210.8637181","  61.1699978",NA," 796.1663772"," 727.5450911","   6.1809020","  62.4403842",NA," 807.8806500"," 126.6387176"," 131.0957061"," 167.1132448"," 416.5990914"," 391.2815586",NA," 485.1276300"," 268.1817138"," 216.9459163",NA,"  -1.8081521",NA,NA," 349.2821918"," 126.7585416"," 793.1906523"," 886.4979217","   0.6942823",NA,NA,"   9.2183813","   7.6666902","   4.2098864",NA,"3722.5255518","2845.6403769",NA," 948.1500594"," 629.2960904","  24.9220406"," 236.1781580","  57.7537703",NA," 961.1312714"," 876.8851750","   9.3523543","  74.8937422",NA,"1031.9217410"," 173.8411515"," 203.7820022","  97.0885907"," 470.1229595"," 561.7987815",NA," 768.8240059"," 489.5600981"," 279.2639078",NA,"  12.4984741",NA,NA,"  97.8328767"," 181.9827098","1382.9274179","1106.3265140","   0.7053141",NA,NA,"  10.0939259","   8.8486936","   3.0295164",NA,"5882.4815985","4051.3646549",NA,"1602.4363706","1081.5018705","  48.6974071"," 408.3115800","  63.9255129",NA,"1934.5268833","1831.1169436","  19.0197351","  84.3902046",NA,"1205.5960091"," 240.6350229"," 246.1005911"," 265.0713714"," 601.9420849"," 603.6539242",NA,"1232.3948222"," 579.1165077"," 653.2783144",NA," -92.4724866",NA,NA," 150.0657534"," 276.4722644","3079.9462901","2179.7435984","   0.7167910",NA,NA,"  11.5609048","  10.7020667","   1.7937343",NA,"3927.8058051","2853.2431438",NA,"1086.0923946"," 719.8132337","  32.1548019"," 272.7175905","  61.4067685",NA,"1155.9374876","1074.5626613","  10.4563851","  70.9184412",NA," 961.2303669"," 167.7655269"," 176.7520519"," 184.0759938"," 479.6068447"," 481.6235222",NA," 750.4465368"," 395.7524365"," 354.6941004",NA," -25.9009809",NA,NA," 597.1808219"," 187.7728652","1181.3700886","1300.6069687","   0.7075274",NA,NA,"   9.9504705","   8.6230921","   3.4093572",NA,NA
0,"2002.0000000","2785.7485701","2206.4678573",NA," 904.6207336"," 568.4438098","  23.0219904"," 259.3324218","  53.8225116",NA," 652.2067068"," 579.2807128","  16.6450876","  56.2809064",NA," 710.4095577"," 158.2387487","  82.0688431"," 123.1133483"," 362.0414963"," 348.3680614",NA," 511.7817413"," 333.3040907"," 178.4776506",NA,"   6.7298307",NA,NA," 303.0794521"," 126.6267350"," 819.5872044"," 811.2726055","   0.7124397",NA,NA,"   8.9646370","   7.5134058","   4.0077650",NA,"3763.1631927","2985.9755181",NA,"1031.1510226"," 654.4039879","  25.9081462"," 299.3118193","  51.5270693",NA," 873.2239012"," 777.1876746","  19.7493967","  76.2868299",NA,"1116.6050886"," 215.7490451"," 210.4267741"," 112.3319600"," 538.5077792"," 578.0973094",NA," 734.0083761"," 479.0384185"," 254.9699577",NA,"   8.1748041",NA,NA,"  97.0054795"," 181.9979375","1347.7995777","1104.7594090","   0.7117906",NA,NA,"   9.9604316","   8.7134747","   3.0766515",NA,"5885.2298267","4312.7158007",NA,"1741.9248506","1131.1319027","  47.9830856"," 503.0665757","  59.7432867",NA,"1701.3817903","1572.5140260","  43.3565851","  85.5111792",NA,"1203.2447101"," 211.4355636"," 167.9874141"," 237.2683836"," 616.6847021"," 586.5600080",NA,"1225.3150648"," 592.7464331"," 632.5686317",NA,"  13.3634109",NA,NA," 156.2958904"," 266.0935138","2914.8792414","2104.7143373","   0.7575376",NA,NA,"  10.5292035","   9.6627927","   1.7192540",NA,"3920.1549786","2998.2591645",NA,"1186.1398437"," 757.7996990","  31.2538078"," 341.8515683","  55.2347686",NA,"1016.2880718"," 921.8958141","  25.4570207","  68.9352369",NA," 936.2574503"," 185.0946226"," 131.8757477"," 156.4119662"," 472.6769537"," 463.5804967",NA," 772.4291957"," 439.8494018"," 332.5797939",NA,"   9.0404171",NA,NA," 556.3808219"," 186.9246543","1224.0447561","1263.9285841","   0.7353783",NA,NA,"   9.5777653","   8.3264345","   3.2025468",NA,NA
